Название,Последний  релиз,Последний  релиз,Последний  релиз пред,Последний коммит пред,Текущая версия,Описание,Приотритет,Имя папки,Ссылка на GitHub,Уст компоненты,РидМи,Комментарий,Категория,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Общие,,,,,,,,,,,,,,,,,,,,,,
Enhanced Edition Trilogy (EET),06-08-2026,07-04-2025,N/A,N/A,14.1,Объединяет всю сагу Baldur's Gate в одну игру на движке BG2:EE.,1,EET,https://github.com/Gibberlings3/EET/archive/refs/tags/v14.1.zip,0,Есть,,Ядро сборки,,,,,,,,,
Enhanced Edition Fixpack,14-08-2026,N/A,N/A,N/A,source,Неофициальный сборник исправлений для Enhanced Editions.,0,eefixpack,https://github.com/Gibberlings3/EE_Fixpack/releases/download/Beta_2/eefixpack-Beta_2.exe,0 1,Есть,,Исправления,,,,,,,,,
Eex,,10-08-2026,N/A,N/A,1.2.0,,-2,eeex,https://github.com/Bubb13/EEex/releases/download/v1.2.0/eeex-v1.2.0.zip,0 1 2 3 4 5 6 7 ,Есть,,,,,,,,,,,
EET_end,,,,,,,-1000,EET_end,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Сюжетные,,,,,,,,,,,,,,,,,,,,,,
Dark Side of the Sword Coast (DSotSC),13-12-2025,15-12-2024,N/A,N/A,4.2,Крупнейший классический мод для BG1 с новой сюжетной линией.,20,DSotSC,https://github.com/Spellhold-Studios/DSotSC/releases/download/v4.2/dark-side-of-the-sword-coast-v4.2.zip,0 1 2 3 4,Есть,,Сюжетный (Мега-мод),,,,,,,,,
Northern Tales of the Sword Coast (NTotSC),13-12-2024,21-06-2022,N/A,N/A,5.0,Фундаментальный мод для BG1 с приключениями на севере.,21,ntotsc,https://github.com/Spellhold-Studios/NTotSC/releases/download/v5.0.0/northern-tales-of-the-sword-coast-5.0.0.zip,0 1 2 3 4 5 6 7 8 9 10 11 12 14,Есть,,Сюжетный (Мега-мод),,,,,,,,,
Trials of the Luremaster for BG2EE,04-02-2026,14-01-2026,N/A,N/A,4.4,Портирует дополнение из Icewind Dale в движок BG2:EE.,22,A7-TotLM-BG2EE,https://github.com/Argent77/A7-TotLM-BG2EE/releases/download/v4.4/win-A7-TotLM-BG2EE-v4.4.zip,0 20 31,Есть,,Доп. контент,,,,,,,,,
BG Quests and Encounters (BGQE),267-06-2026,17-01-2026,N/A,N/A,3.1,Добавляет множество небольших квестов и встреч в BG1.,23,bgqe,https://github.com/Gibberlings3/BG_Quests_And_Encounters/releases/download/v31/baldurs-gate-mini-quests-and-encounters-modification-31.zip,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 ,Есть,,Квесты,,,,,,,,,
The Dark Horizons,26-08-2026,29-04-2026,N/A,N/A,3.06,Добавляет сюжетную линию о войне с организацией «Надзор».,24,DarkHorizons,https://github.com/The-Gate-Project/DarkHorizons/releases/download/v3.06/win-Dark.Horizons-v3.06.zip,0 10,Есть,,Сюжетный,,,,,,,,,
The Calling,21-07-2026,21-06-2026,N/A,N/A,6,"Квест, отвечающий на сюжетные вопросы по BG1.",25,thecalling,https://github.com/Gibberlings3/The_Calling/releases/download/v6/thecalling-v6.exe,0 10 20 40 60 70 80 90 100,Есть,,Квесты,,,,,,,,,
Call of the Lost Goddess,26-07-2026,01-07-2026,N/A,N/A,3,Большой квестовый мод с новой нелинейной историей.,29,Godcall,https://github.com/AciferBG/Call-of-the-Lost-Goddess/releases/download/v3.0/Call_of_the_lost_goddess_V_3.0.zip,0 50 200,Есть,,Квесты,,,,,,,,,
